Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4898;69;71;29,4;254;5,1;55;1,1;3;110;33;69;22;733;1981;8;162;341;8;65;10,8;28;
ANDERSON LIGEIRO;5643;77;73;31,6;471;8,3;178;3,15;8;118;37;73;20;905;2213;8;162;358;7;64;12,8;29;
BEDEU;5660;77;74;31,2;306;5,4;89;1,58;5;116;36;78;20;854;2161;8;134;375;8;66;11,4;28;
BRUNO OLIVEIRA;5196;77;67;31;348;6,7;91;1,75;7;127;49;63;17;826;2031;7;151;346;8;65;8,8;26;
CESINHA;4688;77;61;26,5;165;3,5;10;0,21;1;99;31;51;15;556;1748;7;156;304;6;59;9,2;23;
CLAYTON;5572;77;72;30,8;284;5,1;76;1,36;4;141;46;97;30;832;2246;9;153;401;9;75;10,8;29;
DIEGO CEARÁ;3509;51;69;29,5;175;5;53;1,52;2;80;21;46;13;486;1338;7;205;220;8;59;9,7;26;
DIONE;5128;67;76;27,9;317;6,2;31;0,61;3;64;11;71;28;813;2254;10;133;415;7;80;11,3;33;
EZEQUIEL;3844;57;68;31,6;124;3,2;46;1,19;1;101;37;68;24;547;1743;9;189;315;9;62;12,6;31;
IGOR NUNES;5509;77;72;30,7;372;6,7;117;2,12;6;137;46;76;22;901;2103;7;171;333;8;57;11,5;27;
JADSON;4920;77;64;21,8;62;1,3;0;0;0;85;23;38;15;544;1759;6;151;286;6;49;9,5;23;
JEFFERSON;3757;51;74;30,8;238;6,3;23;0,61;1;106;28;57;16;620;1456;8;159;256;9;63;10,9;29;
JOÃO MARCUS;5259;77;68;27;181;3,4;14;0,27;1;144;52;74;24;721;1978;7;188;315;8;63;10,7;26;
JUNIOR DINDÊ;5742;77;75;29,8;284;4,9;38;0,66;3;109;20;62;20;871;2111;8;150;385;7;66;11,2;27;
KAYAN;3737;51;73;29,1;273;7,3;72;1,93;4;98;28;82;21;577;1755;11;186;324;10;67;9,8;35;
KLAYVER;5829;77;76;29,1;283;4,9;45;0,78;4;142;44;94;33;826;2117;8;180;366;9;58;9,8;27;
LUCAS;3445;57;60;24,9;107;3,1;0;0;0;104;34;52;16;532;1555;8;123;277;9;57;11,1;27;
MARQUINHOS;4087;57;72;29,3;235;5,8;28;0,69;2;138;47;84;26;733;1794;9;170;313;11;63;12,2;32;
ORLANDO JUNIOR;3572;57;63;30,6;158;4,4;64;1,8;3;108;39;54;13;518;1732;9;176;301;8;67;9,8;30;
OTÁVIO;6050;77;79;32,4;245;4,1;64;1,05;4;142;30;102;35;948;2312;8;189;376;9;66;10,4;30;
RAFINHA;5737;77;75;31,1;394;6,9;70;1,23;4;94;17;95;45;1028;2210;9;139;396;9;70;12,6;29;
THOMAS;4358;60;72;31,5;222;5,1;49;1,12;3;78;22;37;11;585;1629;8;215;273;5;61;9,6;27;
TOSCANO;5722;77;74;27,6;296;5,2;22;0,38;3;94;25;59;15;750;2378;9;140;421;6;85;11,7;31;
VITÃO;5694;77;74;30,5;297;5,2;74;1,3;3;105;29;71;26;880;2148;8;114;367;8;61;10,2;28;
